"Time (s)","Pressure (hPa)","Height (m)","Time (velocity) (s)","Velocity (m/s)"
0.000000000E0,9.398532867E2,0.000000000E0,5.096130000E-1,2.119474132E-2
1.019226000E0,9.398508453E2,2.160223142E-2,1.527084000E0,3.788370694E-2
2.034942000E0,9.398464966E2,6.008131870E-2,2.544127500E0,0.000000000E0
3.053313000E0,9.398464966E2,6.008131870E-2,3.564467000E0,0.000000000E0
4.075621000E0,9.398464966E2,6.008131870E-2,4.584975000E0,4.771275865E-2
5.094329000E0,9.398410034E2,1.086866876E-1,5.603575500E0,1.391920147E-2
6.112822000E0,9.398394012E2,1.228632969E-1,6.679429500E0,-1.191436844E-3
7.246037000E0,9.398395538E2,1.215131428E-1,7.755925000E0,-1.138608765E-1
8.265813000E0,9.398526764E2,5.400553593E-3,8.774296500E0,-3.172945565E-1
9.282780000E0,9.398891449E2,-3.172775396E-1,9.791477500E0,-4.856750551E-1
1.030017500E1,9.399449921E2,-8.114009123E-1,1.081033750E1,-6.959468411E-1
1.132050000E1,9.400252533E2,-1.521492873E0,1.182875950E1,-8.704670308E-1
1.233701900E1,9.401252747E2,-2.406339149E0,1.284545700E1,-9.935251659E-1
1.335389500E1,9.402394867E2,-3.416631045E0,1.386231800E1,-9.755395681E-1
1.437074100E1,9.403516388E2,-4.408604553E0,1.488033850E1,-9.930573857E-1
1.538993600E1,9.404660797E2,-5.420723675E0,1.589854200E1,-9.789777138E-1
1.640714800E1,9.405786896E2,-6.416551553E0,1.691652850E1,-9.906376256E-1
1.742590900E1,9.406928253E2,-7.425774531E0,1.793506450E1,-9.446109131E-1
1.844422000E1,9.408016205E2,-8.387682215E0,1.895369550E1,-1.008134376E0
1.946317100E1,9.409178162E2,-9.414921745E0,1.997234150E1,-9.775122131E-1
2.048151200E1,9.410304260E2,-1.041036251E1,2.099062150E1,-9.848194073E-1
2.149973100E1,9.411438751E2,-1.141312434E1,2.200717400E1,-9.680262964E-1
2.251461700E1,9.412550354E2,-1.239556068E1,2.302432150E1,-9.867864937E-1
2.353402600E1,9.413688660E2,-1.340149971E1,2.404215900E1,-9.545846978E-1
2.455029200E1,9.414786530E2,-1.437161168E1,2.505999650E1,-9.469231154E-1
2.556970100E1,9.415879059E2,-1.533691363E1,2.607806300E1,-9.705477502E-1
2.658642500E1,9.416996002E2,-1.632369282E1,2.709562000E1,-9.999697572E-1
2.760481500E1,9.418148804E2,-1.734205202E1,2.811337500E1,-1.015032053E0
2.862193500E1,9.419317627E2,-1.837446142E1,2.913163950E1,-9.928221237E-1
2.964134400E1,9.420463562E2,-1.938655323E1,3.015126250E1,-8.991591535E-1
3.066118100E1,9.421501923E2,-2.030354900E1,3.117067200E1,-6.962042924E-1
3.168016300E1,9.422305298E2,-2.101296865E1,3.218709950E1,-4.916969030E-1
3.269403600E1,9.422869873E2,-2.151148686E1,3.320447300E1,-2.890243998E-1
3.371491000E1,9.423204041E2,-2.180654436E1,3.422357700E1,-7.283730452E-2
3.473224400E1,9.423287964E2,-2.188064422E1,3.524091100E1,0.000000000E0
3.574957800E1,9.423287964E2,-2.188064422E1,3.625899250E1,2.380262687E-2
3.676840700E1,9.423260498E2,-2.185639342E1,3.727864000E1,3.102588555E-2
3.778887300E1,9.423224640E2,-2.182473255E1,3.829752500E1,2.185189949E-2
3.880617700E1,9.423199463E2,-2.180250253E1,3.931502700E1,2.382921386E-2
3.982387700E1,9.423171997E2,-2.177825154E1,4.033263550E1,0.000000000E0
4.084139400E1,9.423171997E2,-2.177825154E1,4.134983750E1,-1.258659147E-2
4.185828100E1,9.423186493E2,-2.179105068E1,"",""